biller.ar_file.parent_business_id | No Mapping |  | None of the provided questions directly relate to the parent business ID.
originator.funds.wait_for_funds_before_disbursement_flag | No Mapping |  | None of the provided questions directly relate to waiting for funds before disbursement.
biller.consolidator_flag | No Mapping |  | None of the provided questions directly relate to a consolidator flag.
biller.ar_file.create_empty_file_flag | No Mapping |  | None of the provided questions directly relate to creating an empty file flag.
originator.bank_account.ecom_orig.aba | No Mapping |  | None of the provided questions directly relate to the ABA of the originator's e-commerce bank account.
originator.bank_account.ecom_orig.dda | No Mapping |  | None of the provided questions directly relate to the DDA of the originator's e-commerce bank account.
biller.settlement_business_id | No Mapping |  | None of the provided questions directly relate to the settlement business ID.
originator.returns.max_resubmits_allowed | achPaymentProcessing | 0.6847279667854309 | The question about 'achReturnResubmission' and 'resubmissionTimes' directly relates to the maximum resubmits allowed.
biller.settlement.payment.pecom_originates_flag | No Mapping |  | None of the provided questions directly relate to the PECom originates flag.
biller.settlement.payment.settlement_method | No Mapping |  | None of the provided questions directly relate to the settlement method.
biller.settlement.payment.bank_name | No Mapping |  | None of the provided questions directly relate to the bank name for settlement payment.
biller.settlement.payment.aba | No Mapping |  | None of the provided questions directly relate to the ABA for settlement payment.
biller.settlement.payment.dda | No Mapping |  | None of the provided questions directly relate to the DDA for settlement payment.
biller.settlement.payment.nacha_standard_entry_class | No Mapping |  | None of the provided questions directly relate to the NACHA standard entry class for settlement payment.
biller.settlement.payment.nacha_transaction_code | No Mapping |  | None of the provided questions directly relate to the NACHA transaction code for settlement payment.
biller.settlement.fee.aba | No Mapping |  | None of the provided questions directly relate to the ABA for settlement fee.
biller.reversal.payment.aba | No Mapping |  | None of the provided questions directly relate to the ABA for reversal payment.
biller.settlement.fee.bank_name | No Mapping |  | None of the provided questions directly relate to the bank name for settlement fee.
biller.reversal.payment.bank_name | No Mapping |  | None of the provided questions directly relate to the bank name for reversal payment.
biller.settlement.fee.dda | No Mapping |  | None of the provided questions directly relate to the DDA for settlement fee.
biller.reversal.payment.dda | No Mapping |  | None of the provided questions directly relate to the DDA for reversal payment.
biller.settlement.fee.nacha_standard_entry_class | No Mapping |  | None of the provided questions directly relate to the NACHA standard entry class for settlement fee.
biller.reversal.payment.nacha_standard_entry_class | No Mapping |  | None of the provided questions directly relate to the NACHA standard entry class for reversal payment.
biller.settlement.fee.nacha_transaction_code | No Mapping |  | None of the provided questions directly relate to the NACHA transaction code for settlement fee.
biller.reversal.payment.nacha_transaction_code | No Mapping |  | None of the provided questions directly relate to the NACHA transaction code for reversal payment.
biller.settlement.fee.pecom_originates_flag | No Mapping |  | None of the provided questions are relevant to the rule 'biller.settlement.fee.pecom_originates_flag'.
biller.reversal.payment.pecom_originates_flag | No Mapping |  | None of the provided questions are relevant to the rule 'biller.reversal.payment.pecom_originates_flag'.
biller.settlement.fee.settlement_method | fundingMethods | 0.716770589351654 | The rule 'biller.settlement.fee.settlement_method' is relevant to the 'fundingMethods' key as it deals with settlement methods.
biller.reversal.payment.settlement_method | fundingMethods | 0.7269632816314697 | The rule 'biller.reversal.payment.settlement_method' is relevant to the 'fundingMethods' key as it deals with settlement methods.
biller.settlement.ecom.aba | achPaymentProcessing | 0.7253227233886719 | The rule 'biller.settlement.ecom.aba' is relevant to the 'achPaymentProcessing' key as it deals with ABA details.
biller.settlement.ecom.dda | achPaymentProcessing | 0.705151379108429 | The rule 'biller.settlement.ecom.dda' is relevant to the 'achPaymentProcessing' key as it deals with DDA details.
originator.funds.ach.managed_by_ecom_flag | achPaymentProcessing | 0.7153435945510864 | The rule 'originator.funds.ach.managed_by_ecom_flag' is relevant to the 'achPaymentProcessing' key as it deals with ACH management.
originator.funds.cc.managed_by_ecom_flag | fundingMethods | 0.6999825835227966 | The rule 'originator.funds.cc.managed_by_ecom_flag' is relevant to the 'fundingMethods' key as it deals with credit card management.
biller.settlement.funds.ach.managed_by_ecom_flag | achPaymentProcessing | 0.728471040725708 | The rule 'biller.settlement.funds.ach.managed_by_ecom_flag' is relevant to the 'achPaymentProcessing' key as it deals with ACH management.
biller.settlement.funds.cc.managed_by_ecom_flag | fundingMethods | 0.7063021063804626 | The rule 'biller.settlement.funds.cc.managed_by_ecom_flag' is relevant to the 'fundingMethods' key as it deals with credit card management.
biller.credit_card.provider.business_id | clientInformation | 0.7160237431526184 | The rule 'biller.credit_card.provider.business_id' is relevant to the 'clientInformation' key as it deals with business identification.
biller.credit_card.provider.visa.merchant_id | paymentChannels | 0.7466866374015808 | The rule 'biller.credit_card.provider.visa.merchant_id' is relevant to the 'paymentChannels' key as it deals with Visa merchant ID.
biller.credit_card.provider.master_card.merchant_id | paymentChannels | 0.7413259744644165 | The rule 'biller.credit_card.provider.master_card.merchant_id' is relevant to the 'paymentChannels' key as it deals with MasterCard merchant ID.
